CNS5,GJ,Comp,NComp,GaiaDR3,HIP,RAJ2000,DEJ2000,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Ksmag,W1mag,SimbadName
425,"65    ","B   ",2,5140693571158946048,,24.77167420821,-17.94768286001,373.84,0.56,3178.69,584.06,,,10.817838,9.423653,,," CNS5  425"
757,"3193  ","ABC ",3,5153091836072107136,14101,45.46242451176,-16.59453280551,145.73,0.03,-369.97,-267.93,,,10.058402,8.88558,6.496,6.405," CNS5  757"
905,"144.0 ","    ",,5164707970261890560,16537,53.22829341518,-9.45816821629,310.58,0.16,-974.76,20.88,,,3.465752,2.84215,1.776,-0.792," CNS5  905"
2402,"1128  ","    ",,5243594081269535872,,145.69216012444,-68.87998537875,153.78,0.03,-75.83,1128.85,,,11.133258,9.839672,7.037,6.815," CNS5 2402"
2631,"3618  ","    ",,5254061535106490112,,161.08527551333,-61.20263830459,206.97,0.05,-346.21,1611.1,,,11.859422,10.474081,7.728,," CNS5 2631"
2055,"11204 ","    ",,5278042880077383040,,124.3735180552,-61.91613022265,191.79,0.41,-156.45,1099.37,,,20.0352,18.231085,13.52,12.972," CNS5 2055"
2877,"440   ","    ",,5332606522595645952,57367,176.4566466173,-64.8430528461,215.72,0.02,2661.64,-344.93,,,11.423104,11.230018,11.104,11.038," CNS5 2877"
2653,"11551 ","AB  ",2,,,162.314706,-53.3183847,500.51,0.11,-2754.77,358.72,,,,,8.841,7.872," CNS5 2653"
2647,"11547 ","    ",,5393446658454453632,,162.05388771667,-39.93962594731,247.28,0.06,-1179.31,-988.12,-11.0,2.0,14.005882,12.46335,8.447,8.08," CNS5 2647"
1899,"11110 ","    ",,5535361753834861312,,115.04626042328,-42.95894881178,125.3,0.03,-483.46,504.77,,,12.030774,10.699945,7.768,," CNS5 1899"
1850,"11087 ","    ",,,,112.247914,-39.8959328,126.0,8.0,-567.0,1643.0,,,,,15.29,15.292," CNS5 1850"
2389,"11394 ","    ",,,,144.8997273,-24.8108263,187.0,5.0,573.4,-1044.7,,,,,16.556,14.906," CNS5 2389"
2125,"11250 ","    ",,5753687109122994048,,128.92481210229,-8.32181826675,138.31,0.21,-534.81,301.65,29.89,0.06,,16.847324,11.136,10.407," CNS5 2125"
2194,"11286 ","    ",,,,133.7947598,-7.2451456,439.0,2.4,-8123.7,673.2,,,,,,17.819," CNS5 2194"
4091,"12393 ","    ",,,,249.9201705,-68.794288,219.6,2.3,578.1,-3107.5,,,,,,17.266," CNS5 4091"
