CNS5,GJ,Comp,NComp,GaiaDR3,HIP,RAJ2000,DEJ2000,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Ksmag,W1mag,SimbadName
5871,"908   ","    ",,2739689239311660672,117473,357.30660382313,2.3969179442,169.26,0.03,992.72,-968.81,-71.79,0.17,8.152917,7.120805,5.043,4.967," CNS5 5871"
5897,"13441 ","    ",,,,358.5116543,2.6705854,130.6,3.3,503.5,-399.5,,,,,,18.263," CNS5 5897"
245,"10131 ","    ",,,,12.440225,21.8554683,140.4,2.1,-479.4,-54.0,,,,,15.86,15.92," CNS5  245"
5800,"896   ","A   ",2,2824770686019003904,116132,352.97012375451,19.9369928266,159.71,0.04,578.01,-59.77,-0.02,0.31,9.043998,7.846364,5.326,," CNS5 5800"
5801,"896   ","B   ",2,2824770686019004032,,352.97167530306,19.93731374687,159.97,0.06,552.35,20.27,,,10.828941,9.530133,6.262,," CNS5 5801"
5663,"880   ","    ",,2828928008202069376,113296,344.14022173121,16.55216937228,145.66,0.03,-1034.73,-284.13,-27.99,0.16,7.795021,6.747774,4.523,4.396," CNS5 5663"
17,"10008 ","    ",,,,1.3229134,37.6223382,126.9,2.1,997.3,-271.6,,,,,,16.764," CNS5   17"
1528,"229   ","A   ",2,2940856402123426176,29295,92.64357908168,-21.86782311323,173.59,0.02,-135.69,-719.18,4.02,0.16,7.3134713,6.291551,4.166,," CNS5 1528"
1529,"229   ","B   ",2,,,92.645,-21.866667,173.7,0.05,-135.99,-719.09,,,,,,," CNS5 1529"
1675,"244   ","B   ",2,2947050466531873024,,101.28662552099,-16.72093252602,374.51,0.26,-461.57,-914.52,,,8.524133,8.398789,,," CNS5 1675"
1676,"244   ","A   ",2,,32349,101.28854105207,-16.71314306264,379.21,1.58,-546.01,-1223.07,,,,,,," CNS5 1676"
1470,"9193  ","    ",,3022956969731332096,,88.79209555774,-4.17892709155,155.28,0.02,535.25,-2317.01,,,14.236672,13.592983,12.777,12.543," CNS5 1470"
1819,"11068 ","    ",,,,110.01338013598,-8.78105451925,147.1,1.2,-46.0,-116.5,83.1,0.4,,,9.467,9.174," CNS5 1819"
1828,"11075 ","    ",,,,110.6136616,-5.6749459,242.8,2.4,-904.1,352.0,,,,,,15.25," CNS5 1828"
2033,"299   ","    ",,3098328182579892096,,122.9946825611,8.75040152206,147.72,0.11,1069.81,-5094.22,,,11.397289,10.137975,7.66,," CNS5 2033"
1610,"234   ","    ",,,30920,97.34581159163,-2.81247674867,242.32,3.12,705.28,-611.92,,,,,,," CNS5 1610"
1909,"285   ","    ",,3136952686035250688,37766,116.16583593088,3.55048444549,167.03,0.04,-347.78,-445.7,,,9.692206,8.419889,5.698,5.566," CNS5 1909"
1895,"280.0 ","    ",,,37279,114.82724201809,5.22750757748,284.56,1.26,-714.59,-1036.8,,,,,,," CNS5 1895"
1843,"273   ","    ",,3139847906307949696,36208,111.85462844259,5.20938270171,264.16,0.05,571.23,-3691.49,,,8.576388,7.353947,4.857,4.787," CNS5 1843"
1257,"3323  ","    ",,3187115498866675456,,75.48680521252,-6.94858740903,186.1,0.03,-551.75,-533.65,,,10.649305,9.380491,6.736,6.548," CNS5 1257"
1054,"10582 ","    ",,,,63.8386066,-9.5834569,175.2,1.7,2214.3,535.9,,,,,15.429,15.14," CNS5 1054"
1053,"166   ","B   ",3,3195919254111315712,,63.83078752438,-7.67295213541,199.69,0.06,-2236.17,-3338.96,,,9.54224,9.672128,9.861,," CNS5 1053"
1052,"166   ","C   ",3,3195919254111314816,,63.82965602087,-7.67090338261,199.45,0.08,-2247.18,-3409.82,,,9.775309,8.501209,5.962,5.701," CNS5 1052"
1051,"166   ","A   ",3,3195919528989223040,19849,63.80795300602,-7.66807781502,199.61,0.14,-2240.08,-3421.81,-42.62,0.42,4.179894,3.569749,2.498,," CNS5 1051"
1375,"205   ","    ",,3209938366665770752,25878,82.86754111476,-3.68652760191,175.34,0.02,761.63,-2092.21,8.26,0.14,7.1082892,6.069535,4.039,3.79," CNS5 1375"
1035,"10571 ","    ",,,,62.594817,15.0466433,151.3,2.0,960.3,-2219.4,,,,,,18.17," CNS5 1035"
1492,"3379  ","    ",,3316364602541746048,,90.0159764416,2.7063740799,192.06,0.03,309.15,-40.37,,,9.901327,8.654313,6.042,," CNS5 1492"
1338,"10757 ","    ",,,,80.3596123,10.424549,150.2,3.0,223.7,-438.3,,,,,14.665,14.105," CNS5 1338"
1415,"213   ","    ",,3340477717172813568,26857,85.54770759482,12.48235991779,172.73,0.03,1997.34,-1569.35,,,10.11378,8.873728,6.389,," CNS5 1415"
1735,"1093  ","    ",,3365063724883180288,,104.87435115777,19.34487368505,129.01,0.08,909.12,-894.55,,,12.776403,11.390862,8.23,7.985," CNS5 1735"
1517,"10869 ","    ",,3426333598021539840,,91.91027346627,24.49769408806,138.06,0.51,-472.87,-318.46,-11.9,1.1,19.54577,17.854399,12.469,11.539," CNS5 1517"
2747,"11600 ","    ",,,,168.7031229,-26.3077591,179.2,1.4,-3021.5,-389.5,,,,,16.109,15.251," CNS5 2747"
3323,"514   ","    ",,3738099879558957952,65859,202.50420163284,10.37238957413,131.14,0.03,1127.34,-1073.89,14.05,0.21,8.205292,7.178842,5.036,4.823," CNS5 3323"
3403,"526   ","    ",,3741297293732404352,67155,206.44056584486,14.8850527046,184.03,0.03,1776.01,-1455.16,15.56,0.15,7.6105833,6.56938,4.415,," CNS5 3403"
2648,"3622  ","    ",,3757613049856225792,,162.05518399901,-11.34280331974,219.35,0.08,579.02,-1530.08,-0.2,3.0,12.837447,11.359858,7.926,7.662," CNS5 2648"
2890,"447   ","    ",,3796072592206250624,57548,176.93768799004,0.79911997024,296.36,0.03,607.3,-1223.03,,,9.601,8.327767,5.654,5.437," CNS5 2890"
2508,"382   ","    ",,3828238392559860992,49986,153.07293731001,-3.74674755302,129.79,0.03,-152.76,-243.69,7.21,0.33,8.331761,7.257185,5.015,4.838," CNS5 2508"
