CNS5,GJ,Comp,NComp,P?,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,Epoch,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Jmag,Hmag,Ksmag,W1mag,SimbadName
5654,877,,,0,,6378584028690858496,113229,343.92147125182,-75.46337685002,2016.0000,116.34,0.02,-1026.20,-1059.41,,,9.2927780,8.147194,6.616,6.084,5.811,5.718,CNS5 5654
808,1057,,,0,,3179036008830848,,48.35325823821,+4.77520017099,2016.0000,116.28,0.05,1741.87,86.49,,,12.1013680,10.778052,8.775,8.208,7.833,7.596,CNS5  808
102,17,,,0,,4900108950849461248,1599,5.03560954743,-64.86961713713,2016.0000,116.18,0.15,1706.75,1164.96,,,4.0735100,3.600201,3.068,2.738,2.769,1.875,CNS5  102
3823,12234,,,0,,1165479168642900992,,232.62556000546,+9.43455138510,2016.0000,116.10,0.05,-178.85,183.90,,,13.0703300,11.690813,9.569,9.006,8.661,8.434,CNS5 3823
2186,3517,,,0,,5761985432616501376,,133.39836837029,-3.49316442922,2016.0000,115.57,0.08,-516.61,-199.65,7.00,2.00,15.8889290,14.351721,11.212,10.469,9.942,9.624,CNS5 2186
1464,222,,,0,,3399063235755057792,27913,88.59482419468,+20.27585214802,2016.0000,115.43,0.27,-162.54,-99.51,-15.48,0.18,4.2416860,3.747902,3.434,3.190,2.996,2.092,CNS5 1464
1513,10866,,,0,,2886233695250041216,,91.21742524934,-34.55841282238,2016.0000,115.42,0.03,25.79,343.02,,,11.1121430,9.773951,7.742,7.183,6.866,6.669,CNS5 1513
2860,11661,,,0,,3464485826872541440,,175.34234990922,-36.40821490897,2016.0000,115.10,0.04,485.09,311.80,,,11.5837420,10.307290,8.490,7.967,7.699,7.453,CNS5 2860
4146,1207,,,0,,4365609170043180416,,254.27604768746,-4.35064932356,2016.0000,114.97,0.03,481.63,-376.22,,,10.9134220,9.681986,7.971,7.442,7.120,6.954,CNS5 4146
426,10233,,,0,,4960651016012601856,,24.84136680933,-39.60350836179,2016.0000,114.61,0.05,143.63,-228.78,,,12.5683680,11.223761,9.209,8.629,8.274,8.078,CNS5  426
2771,423,E,5,0,,,,169.66121640000,+31.42715470000,2000.0000,114.50,0.40,-339.40,-607.90,,,,,18.220,18.130,,16.158,CNS5 2771
2767,423,ABCD,5,1,,,,169.54338011559,+31.52641490046,2016.0000,114.49,0.43,-339.40,-607.89,,,,,,,,,CNS5 2767
175,10096,,,0,,2794735086363871360,,9.07135464104,+18.35341013814,2016.0000,114.47,0.14,901.58,124.35,19.02,0.15,17.5211320,15.909052,12.466,11.588,11.058,10.536,CNS5  175
1703,250,A,2,1,,3101923001490347392,32984,103.07278431614,-5.17372829320,2016.0000,114.38,0.05,-543.69,-3.52,-7.20,0.15,6.2310570,5.518121,5.013,4.294,4.107,,CNS5 1703
1702,250,B,2,0,,3101920046552857728,,103.07260095889,-5.19006973623,2016.0000,114.33,0.02,-576.33,-13.04,-8.27,0.36,9.0975280,7.995858,6.579,5.976,5.723,5.599,CNS5 1702
2906,450,,,0,,4031586157514097024,57802,177.77908194992,+35.27313964310,2016.0000,114.12,0.02,-273.16,253.40,0.34,0.37,8.8540140,7.804831,6.419,5.828,5.606,5.459,CNS5 2906
4864,12854,,,0,,,,294.23252400000,+4.13156100000,2017.9700,113.90,3.80,-428.60,-1102.10,,,,,,,,15.096,CNS5 4864
4255,666,A,2,1,,5951165616611763456,84720,259.77265431469,-46.63575837614,2016.0000,113.75,0.08,1029.61,106.93,26.04,0.20,5.3014293,4.734677,4.077,3.146,3.421,,CNS5 4255
5478,849,,,0,,2627117287488522240,109388,332.42315156605,-4.64083481516,2016.0000,113.49,0.03,1132.58,-22.16,,,9.2371960,8.070007,6.510,5.899,5.594,5.570,CNS5 5478
5023,785,,,0,,6847167606385195648,99825,303.82866493156,-27.03378080946,2016.0000,113.49,0.06,1242.76,-181.17,-54.21,0.12,5.4813500,4.855769,4.112,3.582,3.501,,CNS5 5023
5064,791.2,AB,2,1,,,,307.45433766661,+9.68950366085,2016.0000,113.40,0.20,673.10,122.00,,,,,,,,,CNS5 5064
4254,666,B,2,0,,5951165616635298816,,259.76853246393,-46.63635961450,2016.0000,113.32,0.49,952.04,138.38,25.06,1.07,7.9870190,6.975858,7.237,5.112,4.856,,CNS5 4254
4746,745,A,2,1,,4519789321942643072,93873,286.77091075230,+20.88648751788,2016.0000,113.29,0.03,-478.27,-349.09,32.19,0.15,9.8148830,8.729002,7.295,6.726,6.521,,CNS5 4746
4747,745,B,2,0,,4519789081415296128,93899,286.80272964028,+20.87553840148,2016.0000,113.26,0.02,-480.75,-332.50,31.59,0.36,9.8053280,8.718459,7.278,6.752,6.517,6.405,CNS5 4747
1625,10950,B,2,0,10949,5260759175761502976,31292,98.43896955101,-75.62380392416,2016.0000,113.15,0.02,-328.76,263.12,,,10.2121670,9.024885,7.410,6.850,6.558,6.402,CNS5 1625
1624,10949,A,2,1,,5260759175761501696,31293,98.42498690791,-75.62874086459,2016.0000,113.15,0.02,-297.95,280.59,,,9.3847475,8.245630,6.725,6.146,5.862,5.660,CNS5 1624
1252,183,,,0,,3211461469444773376,23311,75.20661767204,-5.75859896292,2016.0000,113.07,0.03,549.31,-1108.25,21.38,0.14,5.8864920,5.186893,4.389,3.797,3.706,3.743,CNS5 1252
1970,1105,,,0,,922225002820369152,38956,119.55420831739,+41.30064250417,2016.0000,113.05,0.03,216.87,-687.61,,,10.6656490,9.447945,7.734,7.133,6.878,6.708,CNS5 1970
5587,867,B,2,0,,2400808245117576704,111802,339.69068815030,-20.61468944627,2016.0000,113.04,0.04,424.59,-66.98,,,10.2121500,9.006582,7.344,6.817,6.491,6.342,CNS5 5587
3050,465,,,0,,3519785523672576384,60559,186.22388950027,-18.25255602338,2016.0000,112.72,0.03,1095.59,-2309.02,50.57,0.49,10.2900130,9.179356,7.734,7.247,6.950,6.776,CNS5 3050
910,10499,,,0,,4736655036868019072,,53.56719574135,-49.89008390583,2016.0000,112.68,0.06,2360.59,483.13,71.40,3.00,15.8371380,14.289389,11.376,10.823,10.392,10.084,CNS5  910
1615,10944,A,2,1,,5260451999700465536,,97.69292692592,-76.71700457680,2016.0000,112.66,0.11,-36.21,524.25,,,13.2158690,11.399487,8.894,8.275,7.923,7.696,CNS5 1615
1616,10945,B,2,0,10944,5260451999698559872,,97.69447071944,-76.71691328105,2016.0000,112.60,0.15,-14.37,447.20,,,13.4456300,,8.894,8.275,7.923,7.696,CNS5 1616
1841,11085,,,0,,,,111.82982700000,+17.16425330000,2000.0000,112.50,0.90,1045.50,-763.70,,,,,15.600,15.756,15.556,15.186,CNS5 1841
1425,216,B,2,0,,2964001014514075520,,86.10910372272,-22.42340450564,2016.0000,112.47,0.03,-304.91,-352.61,-9.73,0.14,5.8681660,5.208363,4.845,4.158,4.131,3.893,CNS5 1425
5588,867,A,2,1,,2400808142038361088,111802,339.69202741304,-20.62148673061,2016.0000,112.43,0.06,449.21,-79.05,,,8.1703760,7.082779,5.669,5.108,4.800,4.636,CNS5 5588
1427,216,A,2,1,,2964000159821218432,27072,86.11439122579,-22.45002336420,2016.0000,112.30,0.17,-291.76,-368.52,,,3.4768230,3.044036,2.804,2.606,2.508,,CNS5 1427
2053,2066,,,0,,3089711447388931584,40501,124.03158305458,+1.30284272698,2016.0000,111.91,0.03,-376.20,60.54,61.46,0.67,9.1331690,8.039904,6.625,6.036,5.766,,CNS5 2053
1758,3421,,,0,,981548637301374336,,105.98716288466,+52.69772729783,2016.0000,110.85,0.81,675.77,-921.88,,,11.6991390,10.387692,8.537,8.094,7.776,7.548,CNS5 1758
938,150.0,,,0,,5164120762333028736,17378,55.81166330752,-9.76008366407,2016.0000,110.61,0.22,-93.16,743.64,,,3.2755666,2.686762,2.060,1.729,1.619,,CNS5  938
2774,424,,,0,,1057318835428596096,55360,169.98810368243,+65.84729793562,2016.0000,110.26,0.02,-2946.72,181.95,60.33,0.17,8.5276280,7.546079,6.306,5.730,5.534,5.434,CNS5 2774
2842,433,,,0,,3478160727866058368,56528,173.86190772858,-32.54374824778,2016.0000,110.20,0.02,-71.06,-850.59,17.53,0.21,8.8967460,7.829676,6.471,5.856,5.623,5.447,CNS5 2842
579,3146,,,0,,74203982469858816,,34.12668628650,+13.58495936047,2016.0000,110.02,0.08,504.22,-433.14,,,13.5557570,12.149310,9.871,9.314,8.981,8.747,CNS5  579
5316,13111,,,0,,,,323.73664490000,-71.62908490000,2000.0000,110.00,4.00,1363.00,-223.00,,,,,,,,17.605,CNS5 5316
201,2012,,,0,,2349916559152267008,,10.35621992537,-22.35233354273,2016.0000,109.97,0.02,-463.21,-381.78,,,14.2971830,13.753858,13.342,13.483,13.738,13.789,CNS5  201
5439,4247,,,0,,1893189736896880640,108706,330.30656607858,+28.30710892040,2016.0000,109.91,0.03,372.80,42.80,,,10.6348000,9.395998,7.635,7.035,6.777,,CNS5 5439
3503,12040,,,0,,6109949904687424640,,212.99539892266,-41.53972199046,2016.0000,109.80,0.27,-704.22,-67.65,,,13.4190590,11.991313,9.670,9.041,8.620,8.405,CNS5 3503
1707,11005,,,0,,954697944875755136,,103.12722334041,+47.17695671421,2016.0000,109.77,0.28,-117.68,132.35,-7.03,0.07,18.8071920,17.152987,13.511,12.384,11.694,10.879,CNS5 1707
3247,502,,,0,,1460229442589223424,64394,197.96428161337,+27.88210537252,2016.0000,109.54,0.17,-801.44,882.04,5.60,0.19,4.0932790,3.625619,3.232,2.992,2.923,1.710,CNS5 3247
1901,283,A,2,1,,5717278911884258176,,115.09192337696,-17.41606611554,2016.0000,109.38,0.02,1138.69,-542.56,,,12.9702070,12.747707,12.653,12.611,12.583,12.440,CNS5 1901
1900,283,B,2,0,,5717278911884264576,,115.08608296785,-17.41513771985,2016.0000,109.32,0.04,1152.24,-536.41,-34.33,,13.9568900,12.506049,10.155,9.628,9.291,9.064,CNS5 1900
1799,11055,,,0,,,,108.34399630000,-29.29777890000,2000.0000,109.30,2.10,354.10,-410.30,,,,,20.060,21.160,,18.776,CNS5 1799
983,10538,,,0,,3303349202364648320,,58.84840242722,+11.55936005141,2016.0000,109.14,0.47,223.18,-631.30,11.92,0.22,19.5606820,17.967545,14.050,12.530,11.526,10.526,CNS5  983
2914,451,,,0,,4034171629042489088,57939,178.26735320817,+37.69282694689,2016.0000,109.06,0.02,4002.65,-5817.80,-97.69,0.25,6.1985016,5.605772,4.937,4.500,4.373,4.333,CNS5 2914
3390,3801,,,0,,1470462322431834880,66906,205.67969336228,+33.28692386555,2016.0000,108.79,0.05,-111.80,-712.41,,,10.7199400,9.499312,7.787,7.212,6.982,6.770,CNS5 3390
4416,12573,,,0,,4371611781971072768,,267.60161204988,-0.26995464832,2016.0000,108.58,0.20,-397.50,197.42,19.00,3.00,,16.678308,13.294,12.411,11.849,11.182,CNS5 4416
1293,190,,,0,,2976507997939000064,23932,77.14837445281,-18.17827307858,2016.0000,108.36,0.11,503.59,-1399.63,,,9.0548900,7.841693,6.175,5.591,5.314,5.200,CNS5 1293
516,3128,,,0,,2571094283835172736,,30.56463581615,+10.33595790133,2016.0000,108.32,0.07,-673.64,-280.59,,,13.4352600,12.034747,9.842,9.254,8.928,8.685,CNS5  516
1242,10707,,,0,,,,74.72464180000,+64.58127860000,2000.0000,108.30,1.70,196.00,299.00,,,,,17.470,17.410,,16.439,CNS5 1242
1269,3325,,,0,,2976850598890749824,23512,75.83262223514,-17.37551008567,2016.0000,108.30,0.04,-228.29,-444.69,,,10.5616930,9.384994,7.819,7.242,6.936,6.803,CNS5 1269
5277,827,,,0,,6401464693867773568,105858,321.61171581249,-65.36263997315,2016.0000,108.01,0.12,80.82,800.57,-29.84,0.19,4.0891333,3.644071,3.340,2.992,2.969,,CNS5 5277
5768,13364,,,0,,,,351.33147510000,-41.09308550000,2000.0000,108.00,4.00,837.00,-17.50,,,,,,,,17.064,CNS5 5768
1933,1103,,,0,,3085716990368639744,,117.97896837067,-0.00676912080,2016.0000,107.87,0.05,263.54,-756.86,,,11.6534670,10.363374,8.496,7.939,7.661,,CNS5 1933
840,137,,,0,,3269362645115584640,15457,49.84160069318,+3.37061619080,2016.0000,107.80,0.21,269.30,93.96,19.23,0.24,4.6564903,4.154510,3.407,3.039,2.957,3.263,CNS5  840
3522,12050,A,2,1,,1227133699053734528,,214.10070487061,+13.80784459098,2016.0000,107.74,0.22,86.67,127.95,,,18.3538400,16.681887,13.148,12.456,12.114,11.363,CNS5 3522
3521,12049,B,2,0,12050,,,214.09987450000,+13.81002180000,2000.0000,107.56,0.30,85.70,129.10,,,,,17.633,17.553,18.904,15.992,CNS5 3521
51,10026,,,0,,423027104407576576,,2.87473492355,+59.13922658078,2016.0000,107.44,0.03,-905.72,-1166.83,-45.32,5.37,13.4679860,12.079866,9.945,9.393,9.093,8.870,CNS5   51
2880,442,B,2,0,,5381537023379295744,,176.62723833502,-40.49486212871,2016.0000,107.44,0.04,-1534.68,381.40,,,11.7247450,10.472971,8.755,8.230,7.961,7.238,CNS5 2880
3020,11765,,,0,,,,184.48717270000,+16.44453740000,2000.0000,107.40,3.50,754.90,-1249.80,,,,,18.520,17.500,16.640,16.549,CNS5 3020
527,84,,,0,,5138510181584617856,9724,31.27627523979,-17.61540306608,2016.0000,107.33,0.26,1275.22,-169.70,,,9.1705100,8.040669,6.542,5.898,5.662,5.563,CNS5  527
2879,442,A,2,1,,5381537023379295232,57443,176.62052057637,-40.49856514563,2016.0000,107.30,0.10,-1530.97,403.29,16.90,0.15,4.7016760,4.195356,3.931,3.490,3.489,,CNS5 2879
4542,12653,,,0,,4485574134969389312,,275.36836652079,+14.23247324605,2016.0000,107.03,0.19,227.57,-247.23,9.08,0.17,18.6778760,17.059792,13.431,12.396,11.650,10.853,CNS5 4542
3454,3817,,,0,,3727748630418376704,,209.55650642406,+12.58206347744,2016.0000,106.88,0.05,-329.60,720.34,,,11.0511510,9.863162,8.269,7.687,7.439,7.198,CNS5 3454
932,10514,,,0,,4667836363565989120,,55.03513536747,-67.39901254142,2016.0000,106.81,0.43,-331.04,499.65,,,20.0710300,18.388159,14.742,13.590,12.925,12.060,CNS5  932
529,3135,,,0,,5020179503252128768,9786,31.44961033408,-30.17617825921,2016.0000,106.63,0.03,-525.19,103.98,,,11.0506990,9.891173,8.367,7.867,7.558,7.257,CNS5  529
1153,3306,,,0,,3186021141200137472,,69.44860243520,-8.82651621861,2016.0000,106.38,0.02,238.38,-1552.41,,,13.6006720,13.237787,13.006,12.906,12.763,12.690,CNS5 1153
4837,12839,,,0,,,,292.72519400000,-20.99913000000,2017.4400,106.30,4.90,-1047.50,-1075.90,,,,,,,,18.461,CNS5 4837
2413,367,,,0,,5412250540681250560,47780,146.12137189336,-45.77909735115,2016.0000,106.20,0.02,-462.62,-582.67,46.96,0.37,9.1587530,8.058181,6.632,6.045,5.780,5.550,CNS5 2413
2374,357,,,0,,5664814198431308288,47103,144.00748512334,-21.66520085526,2016.0000,106.01,0.03,138.72,-990.34,,,9.8916620,8.773195,7.337,6.740,6.475,,CNS5 2374
1527,226,,,0,,1143321672882274560,29277,92.58432174711,+82.10081629101,2016.0000,105.72,0.02,50.26,-1336.25,,,9.4700750,8.356860,6.869,6.295,6.061,,CNS5 1527
2937,11708,,,0,,5368479017141170304,,179.85615309645,-52.78916142373,2016.0000,105.71,0.10,-1068.44,-129.30,,,16.0392590,14.458276,11.430,10.763,10.322,10.020,CNS5 2937
4478,12613,,,0,,4147112604476417792,,271.43447434345,-14.37835762559,2016.0000,105.59,0.04,-344.87,24.87,,,13.2552060,11.882206,9.777,9.209,8.861,8.646,CNS5 4478
1177,176,,,0,,3409711211681795584,21932,70.73548173808,+18.95320292639,2016.0000,105.47,0.02,656.65,-1116.59,25.68,0.29,9.0044390,7.909447,6.462,5.824,5.607,,CNS5 1177
3111,479,,,0,,6078114541943893888,61629,189.46009727130,-52.00134627911,2016.0000,105.38,0.02,-1034.71,29.79,,,9.5650080,8.416586,6.864,6.285,6.020,5.935,CNS5 3111
2146,3512,,,0,,1040827088726734976,,130.33159038955,+59.49165865054,2016.0000,105.35,0.04,-260.28,-1279.56,,,13.0822820,11.712082,9.615,8.996,8.668,8.430,CNS5 2146
2308,1123,,,0,,5203276810942065536,,139.28558758927,-77.82674697466,2016.0000,105.04,0.03,636.19,-806.53,,,11.5566025,10.258115,8.329,7.768,7.448,7.145,CNS5 2308
1507,3380,,,0,,970354749937140736,,90.62210758518,+49.86182103676,2016.0000,104.98,0.05,67.38,-849.99,,,12.6815320,11.344990,9.350,8.768,8.435,8.188,CNS5 1507
4389,694,,,0,,1349047857580994560,86776,265.98324231013,+43.37593023819,2016.0000,104.95,0.02,10.34,-603.20,,,9.4500960,8.328486,6.812,6.221,5.964,5.887,CNS5 4389
5097,1256,,,0,,1810616448010879488,,310.14718809392,+15.50259019820,2016.0000,104.95,0.04,1320.68,662.15,,,11.8373870,10.543046,8.641,8.075,7.749,,CNS5 5097
2440,3571,,,0,,628080246633611520,,148.47823971216,+20.94807917890,2016.0000,104.78,0.05,-345.97,393.25,,,12.3635300,11.062027,9.208,8.600,8.326,8.126,CNS5 2440
2836,432,B,2,0,,3478127467639543296,,173.62327851192,-32.83031725242,2016.0000,104.70,0.03,-701.80,828.93,,,14.5483130,13.980828,,,,,CNS5 2836
2835,432,A,2,1,,3478127463341507072,56452,173.61931513362,-32.82768460706,2016.0000,104.61,0.03,-670.23,822.40,-21.97,0.15,5.7383237,5.150168,4.784,4.138,4.022,3.976,CNS5 2835
5050,1253,,,0,,2188318517720321664,,306.52431726019,+58.57537971546,2016.0000,104.45,0.03,261.04,542.91,,,12.3522670,11.026613,9.029,8.483,8.095,7.877,CNS5 5050
2859,434,,,0,,4025850731201819392,56997,175.26250050618,+34.19993957544,2016.0000,104.43,0.12,-12.52,-381.20,-5.60,0.41,5.1109953,4.581154,3.988,3.648,3.588,3.572,CNS5 2859
5150,13017,,,0,,6779821003058453120,,312.56914167937,-34.41315317609,2016.0000,104.14,0.04,335.77,-297.04,,,12.0486000,10.752785,8.821,8.272,7.997,7.807,CNS5 5150
2390,358,,,0,,5425628298649940608,47425,144.94009578929,-41.06596998361,2016.0000,104.12,0.02,-527.15,357.04,17.78,0.20,9.6314050,8.471009,6.902,6.321,6.056,5.950,CNS5 2390
2863,11663,,,0,,,,175.48614470000,-33.44320730000,2000.0000,104.00,2.90,-910.90,-76.40,,,,,,,,17.079,CNS5 2863
970,3253,,,0,,43574131143039104,,58.17597943609,+17.01495662975,2016.0000,103.51,0.11,433.18,-645.37,,,12.1761420,10.870900,8.933,8.375,8.053,7.873,CNS5  970
3484,12025,,,0,,1725759404752580736,,211.37927527967,+83.84270560145,2016.0000,103.45,0.47,-623.67,561.31,,,20.1205350,18.363949,14.630,13.491,12.848,12.109,CNS5 3484
4336,680,A,2,1,,5946986063684477056,86057,263.80723698262,-48.67877743079,2016.0000,103.34,0.02,74.07,470.17,,,9.2936140,8.208224,6.667,6.080,5.829,,CNS5 4336
2299,11349,,,0,,5742299050967060352,,138.89984391398,-10.59728828550,2016.0000,103.33,1.00,439.40,244.60,,,12.0051040,10.615811,,,,,CNS5 2299
4335,12530,B,2,0,680.,5946986063671469824,,263.80594666213,-48.67780401886,2016.0000,103.22,0.05,-8.66,501.75,,,11.6138460,10.356640,,,,,CNS5 4335
277,10151,,,0,,,,14.79625120000,-1.23363900000,2000.0000,103.20,2.10,884.70,44.00,,,,,18.339,18.201,18.630,16.899,CNS5  277
3867,595,,,0,,6254033894121581952,76901,235.51777703710,-19.47636665244,2016.0000,103.18,0.35,-2009.75,-1037.93,,,10.6858610,9.501714,7.920,7.421,7.168,6.978,CNS5 3867
5128,803,,,0,,6794047652729201024,102409,311.29118264810,-31.34250007993,2016.0000,102.98,0.03,281.32,-360.15,-6.31,0.29,7.8434396,6.798632,5.436,4.831,4.529,4.449,CNS5 5128
440,3112,,,0,,4698424845771339520,,25.75030396963,-67.31295815760,2016.0000,102.94,0.01,-329.26,-1018.51,,,13.6965580,13.289191,12.867,12.659,12.579,12.572,CNS5  440
5577,13256,,,0,,,,339.07334760000,+51.09774860000,2000.0000,102.80,1.90,708.60,326.70,,,,,14.584,14.486,14.445,13.827,CNS5 5577
5068,12973,,,0,,1749030362195988096,,307.67935542370,+7.82610907460,2016.0000,102.80,0.78,664.05,-111.66,,,20.1607100,18.355003,14.227,13.435,13.319,12.966,CNS5 5068
2654,1138,,,0,,750586216906847104,,162.43628733719,+35.54286957230,2016.0000,102.78,0.47,-700.86,-1048.67,,,11.6252560,10.323491,,,,7.499,CNS5 2654
744,10407,,,0,,5052876333365036928,,44.36088479990,-31.09629274552,2016.0000,102.70,0.46,623.39,346.38,,,19.9136620,18.244032,14.672,13.518,12.876,12.032,CNS5  744
1165,10655,,,0,,3200303384927512960,,70.09847133151,-5.50168854630,2016.0000,102.67,0.07,334.53,127.91,29.90,0.20,14.9042850,13.408868,10.658,9.986,9.545,9.356,CNS5 1165
2736,11595,,,0,,,,168.16494100000,-38.94906000000,2016.8200,102.60,3.70,671.50,674.00,,,,,,,,17.478,CNS5 2736
2865,436,,,0,,4017860992519744384,57087,175.55067547084,+26.70295395359,2016.0000,102.35,0.03,895.09,-813.55,,,9.5820080,8.443771,6.900,6.319,6.073,6.017,CNS5 2865
304,1028,,,0,,2358022227591374336,,16.23022246918,-18.12244895479,2016.0000,102.30,0.05,1292.19,488.10,,,12.6972480,11.357640,9.387,8.753,8.453,8.222,CNS5  304
5104,799,B,2,0,,6792436799477051904,102141,310.46473121535,-32.43751492133,2016.0000,102.03,0.09,296.91,-301.43,,,9.6054880,8.117472,,,,,CNS5 5104
3763,12190,,,0,,1589250088362827776,,228.74722564537,+48.80131233163,2016.0000,101.96,0.25,-938.04,1464.63,,,19.2672730,17.604332,14.111,13.099,12.500,11.734,CNS5 3763
4104,638,,,0,,1314438839310796800,82003,251.27624770079,+33.51092483403,2016.0000,101.59,0.02,-39.94,382.22,-31.76,0.14,7.4861526,6.601868,5.480,4.878,4.712,,CNS5 4104
5337,13124,,,0,,,,324.86288090000,+2.33998170000,2000.0000,101.50,2.00,490.60,126.60,-23.30,1.10,,,15.264,14.165,13.582,12.757,CNS5 5337
289,49,A,2,1,,522863309964987520,4872,15.66895082068,+62.34545122289,2016.0000,101.46,0.02,731.09,90.53,-6.56,0.23,8.6713370,7.616600,6.230,5.582,5.371,5.302,CNS5  289
298,51,B,2,0,49.,522864272041351296,,15.83964458528,+62.36589259249,2016.0000,101.37,0.06,730.40,85.97,,,11.9272450,10.594085,8.611,8.014,7.718,,CNS5  298
155,22,A,2,1,,527956488340229632,2552,8.14303081726,+67.23432836058,2016.0000,101.09,0.52,1748.32,-347.59,-4.02,1.42,9.5666360,8.421021,,,,,CNS5  155
2051,11201,,,0,,5699418131466175488,,123.79719661240,-23.73739379319,2016.0000,101.07,0.03,111.98,64.30,,,11.0593860,9.824503,8.107,7.513,7.215,6.983,CNS5 2051
4078,631,,,0,,4358031335898505472,81300,249.09140230088,-2.32596128152,2016.0000,101.07,0.06,456.06,-309.22,-12.82,0.13,5.5535517,4.956011,4.446,4.053,4.039,,CNS5 4078
1151,172,,,0,,272855565763652480,21553,69.42278387138,+52.89150297231,2016.0000,100.95,0.03,304.13,-475.15,33.75,0.15,7.9525313,7.031435,5.866,5.268,5.047,,CNS5 1151
2355,1125,,,0,,3840711729206827520,46655,142.68324346444,+0.32022324372,2016.0000,100.95,0.03,-569.02,-549.39,,,10.5017920,9.315035,7.697,7.182,6.871,6.691,CNS5 2355
4178,3988,,,0,,1412645602995521920,,255.85040248888,+51.40906417008,2016.0000,100.94,0.03,124.41,610.15,,,11.9810260,10.686746,8.768,8.193,7.921,7.937,CNS5 4178
5103,799,A,2,1,,6792436799475128960,102141,310.46433403424,-32.43703678438,2016.0000,100.84,0.08,246.93,-417.19,,,9.5758370,8.184990,,,,,CNS5 5103
966,1065,,,0,,3243715604392800512,,57.68254737645,-6.10099103685,2016.0000,100.75,0.05,-445.62,-1371.20,,,11.4772130,10.247032,8.570,7.998,7.751,7.500,CNS5  966
4625,1230,A,2,1,,4535928365908540416,,280.29313368850,+24.78772836272,2016.0000,100.74,0.02,505.34,87.04,,,10.7254930,9.441540,7.528,6.912,6.616,,CNS5 4625
3687,569,B,2,0,,,,223.62399263356,+16.10158501090,2015.5000,100.68,0.05,279.34,-117.96,,,,,10.807,10.112,9.647,,CNS5 3687
3479,12020,,,0,,6109610086872510592,,210.96248100755,-42.69934702783,2016.0000,100.62,0.04,-379.28,-290.51,,,11.6951980,10.450823,8.721,8.168,7.890,7.686,CNS5 3479
4626,1230,B,2,0,,4535928365908541440,,280.29327363236,+24.78903471868,2016.0000,100.58,0.04,498.68,57.13,,,12.9364220,11.565019,8.860,8.031,7.774,8.125,CNS5 4626
3688,569,A,2,1,,1187851653287128576,72944,223.62310860272,+16.10053096476,2016.0000,100.57,0.02,279.12,-117.91,-8.00,0.17,9.1233670,8.034248,6.633,5.990,5.770,,CNS5 3688
154,22,B,2,0,,527956488339113600,2552,8.14284006815,+67.23327824206,2016.0000,100.43,0.04,1703.23,-250.06,,,11.1068110,9.896468,7.172,6.538,6.377,,CNS5  154
3594,3855,,,0,,1618010323247026560,,217.65033579380,+59.72427392962,2016.0000,100.37,0.05,-808.20,157.40,-7.00,4.00,14.8437370,13.351052,10.790,10.140,9.788,9.542,CNS5 3594
4565,12668,,,0,,,,277.12951790000,+26.84379770000,2000.0000,100.30,2.00,1016.50,169.30,,,,,,,,18.248,CNS5 4565
647,102,,,0,,102162639019033600,,38.40513666109,+24.92413187712,2016.0000,100.17,0.05,48.39,-675.79,,,11.5293060,10.273463,8.472,7.913,7.627,7.405,CNS5  647
1638,239,,,0,,3359074685047632640,31635,99.29143146488,+17.56631651774,2016.0000,100.06,0.02,-764.41,337.88,,,8.8782680,7.901706,6.674,6.031,5.862,5.724,CNS5 1638
