CNS5,GJ,Comp,NComp,P?,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,Epoch,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Jmag,Hmag,Ksmag,W1mag,SimbadName
3118,3737,,,0,,6153483658836320384,,189.70080543574,-38.38740912438,2016.0000,150.10,0.04,-665.16,-1312.64,,,11.2262260,9.951601,8.174,7.756,7.386,,CNS5 3118
2689,408,,,0,,3988987164339438208,53767,165.01567860240,+22.83170230266,2016.0000,148.24,0.03,-426.96,-282.30,,,8.9770050,7.845749,6.314,5.760,5.495,5.311,CNS5 2689
3673,566,B,2,0,,1237090738916392832,,222.84664266523,+19.10110410795,2016.0000,148.21,0.06,133.38,-182.06,2.29,0.18,6.4300914,5.615121,,,,,CNS5 3673
3674,566,A,2,1,,1237090738916392704,72659,222.84805147385,+19.10026964007,2016.0000,148.07,0.15,127.47,-40.57,1.49,0.17,4.4804826,3.944436,,,,,CNS5 3674
2033,299,,,0,,3098328182579892096,,122.99468256110,+8.75040152206,2016.0000,147.72,0.11,1069.81,-5094.22,,,11.3972890,10.137975,8.424,7.927,7.660,,CNS5 2033
2217,3522,ABC,3,1,,,,134.73635000000,+8.47245119216,2016.0000,147.66,1.98,371.20,-323.40,,,,,,,,,CNS5 2217
5297,829,,,0,,1784473016438653056,106106,322.40807988217,+17.64497780267,2016.0000,147.54,0.03,1007.04,378.40,,,9.1084920,7.917384,6.249,5.737,5.453,5.298,CNS5 5297
1819,11068,,,0,,,,110.01338013598,-8.78105451925,2015.5000,147.10,1.20,-46.00,-116.50,83.10,0.40,,,10.628,9.919,9.467,9.174,CNS5 1819
4832,12834,,,0,,2019802555283940608,,292.17175325970,+23.93500479838,2016.0000,146.41,1.15,-247.00,240.43,,,20.6631870,18.507800,13.907,14.199,13.609,13.574,CNS5 4832
4252,667,AB,3,1,,,84709,259.73483503586,-34.98957438559,1991.2500,146.29,9.03,1129.76,-77.02,,,,,,,,,CNS5 4252
730,10400,,,0,,,,43.53981520000,+2.39960590000,2000.0000,146.10,1.50,2562.61,222.00,,,,,16.557,15.884,16.006,15.807,CNS5  730
757,3193,ABC,3,1,,5153091836072107136,14101,45.46242451176,-16.59453280551,2016.0000,145.73,0.03,-369.97,-267.93,,,10.0584020,8.885580,7.294,6.774,6.496,6.405,CNS5  757
5663,880,,,0,,2828928008202069376,113296,344.14022173121,+16.55216937228,2016.0000,145.66,0.03,-1034.73,-284.13,-27.99,0.16,7.7950210,6.747774,5.360,4.800,4.523,4.396,CNS5 5663
2657,402,,,0,,3864615459886222464,53020,162.71296406817,+6.80448953812,2016.0000,143.60,0.03,-856.29,-818.58,,,10.2907810,9.050169,7.319,6.707,6.371,,CNS5 2657
2567,393,,,0,,3855208897392952192,51317,157.22878342623,+0.83774688777,2016.0000,142.14,0.02,-602.99,-731.88,7.43,0.46,8.6759590,7.582168,6.176,5.605,5.311,5.180,CNS5 2567
5164,809,,,0,,2195886971653527168,103096,313.33245630310,+62.15095770150,2016.0000,142.08,0.02,0.26,-773.10,-17.59,0.16,7.7567150,6.747296,5.429,4.919,4.618,4.518,CNS5 5164
5362,13136,,,0,,1952802469918554368,,326.59288194186,+38.21751708114,2016.0000,141.94,0.02,161.45,-119.74,,,10.8308580,9.603650,7.949,7.465,7.198,6.947,CNS5 5362
3697,3877,,,0,,6224387727748521344,,224.15695945057,-28.16725415148,2016.0000,141.86,0.07,-490.29,-843.48,1.00,2.00,14.0610780,12.566201,9.965,9.315,8.928,8.718,CNS5 3697
5175,13033,,,0,,,,314.12034980000,+14.99824760000,2000.0000,140.80,2.00,825.80,528.80,,,,,17.600,17.100,,16.480,CNS5 5175
1036,1068,,,0,,4780100658292046592,,62.61100025780,-53.61299677065,2016.0000,140.69,0.03,-825.18,-2415.58,,,11.9028640,10.605541,8.747,8.213,7.900,,CNS5 1036
245,10131,,,0,,,,12.44022500000,+21.85546830000,2000.0000,140.40,2.10,-479.40,-54.00,,,,,16.720,16.510,15.860,15.920,CNS5  245
5811,1286,,,0,,2640434056928150400,,353.79706943771,-2.39279939437,2016.0000,139.36,0.06,781.42,-841.52,,,12.6237480,11.245876,9.148,8.505,8.183,,CNS5 5811
659,105,B,2,0,,18565464288396416,,39.07167733324,+6.87808989817,2016.0000,138.49,0.05,1801.67,1450.49,,,10.3331280,9.096833,7.333,6.793,6.574,6.481,CNS5  659
658,105,A,2,1,,19316224572460416,12114,39.02838450658,+6.89333910758,2016.0000,138.34,0.36,1778.59,1477.31,25.23,0.13,5.4983196,4.820522,4.152,3.657,3.481,2.598,CNS5  658
2125,11250,,,0,,5753687109122994048,,128.92481210229,-8.32181826675,2016.0000,138.31,0.21,-534.81,301.65,29.89,0.06,,16.847324,13.169,11.938,11.136,10.407,CNS5 2125
5522,4274,,,0,,2595284016771502080,,335.78059284430,-17.61050757069,2016.0000,138.25,0.06,308.71,-718.39,,,11.5507070,10.227819,8.242,7.638,7.319,7.013,CNS5 5522
4253,667,C,3,0,,5975663354131618304,84709,259.75125274377,-34.99779509268,2016.0000,138.11,0.03,1131.52,-215.57,5.68,0.25,9.3861620,8.294535,6.848,6.322,6.036,5.886,CNS5 4253
1517,10869,,,0,,3426333598021539840,,91.91027346627,+24.49769408806,2016.0000,138.06,0.51,-472.87,-318.46,-11.90,1.10,19.5457700,17.854399,14.218,13.038,12.469,11.539,CNS5 1517
809,10442,,,0,,,,48.35835050000,+78.12897610000,2000.0000,135.60,2.80,73.90,53.80,,,,,17.650,17.630,,15.953,CNS5  809
3739,12172,,,0,,6306068659857135232,,226.94794579637,-16.46512505033,2016.0000,135.00,0.26,-151.79,-896.01,-39.85,0.05,17.9515690,16.338354,12.830,11.895,11.312,10.670,CNS5 3739
233,33,,,0,,2552925644460225152,3765,12.09910707515,+5.27553944692,2016.0000,134.49,0.07,755.89,-1141.72,-10.41,0.15,5.4676890,4.828774,4.367,3.722,3.683,,CNS5  233
125,19,,,0,,4683897617110115200,2021,6.48250498843,-77.25279546755,2016.0000,134.07,0.11,2219.54,324.09,,,2.6807318,2.371489,1.676,1.434,1.372,-0.655,CNS5  125
4953,12908,,,0,,,,300.20914050000,+36.49725820000,2000.0000,133.40,2.20,6.10,372.80,,,,,15.811,15.809,16.798,15.080,CNS5 4953
4198,3991,,,0,,1355264565043431040,83945,257.38347211917,+43.68010580899,2016.0000,131.64,0.48,332.03,-274.50,,,10.4531750,9.206718,7.380,6.757,6.485,6.320,CNS5 4198
5660,879,B,2,0,881.,6604147121141267712,113283,344.10194140174,-31.56626896213,2016.0000,131.58,0.03,330.20,-158.60,7.00,0.16,6.0918646,5.346338,4.533,3.804,3.805,,CNS5 5660
4667,12735,,,0,,4286249341336984576,,282.07475874496,+7.69032389481,2016.0000,131.29,0.05,376.04,248.72,,,12.2968790,10.945549,8.853,8.261,7.913,7.696,CNS5 4667
3323,514,,,0,,3738099879558957952,65859,202.50420163284,+10.37238957413,2016.0000,131.14,0.03,1127.34,-1073.89,14.05,0.21,8.2052920,7.178842,5.902,5.300,5.036,4.823,CNS5 3323
4359,12541,,,0,,,,264.64802920000,+27.54969400000,2000.0000,130.90,2.10,337.10,-343.40,,,,,,,,17.710,CNS5 4359
4531,4053,,,0,,2257597439718033536,,274.74325647947,+66.19061665488,2016.0000,130.87,0.03,434.81,-442.79,,,11.9117080,10.623832,8.740,8.264,7.948,7.707,CNS5 4531
438,68,,,0,,96331172942614528,7981,25.62258568628,+20.26551918226,2016.0000,130.82,0.18,-300.74,-673.54,-33.58,0.17,4.9996800,4.417333,3.855,3.391,3.285,3.274,CNS5  438
5897,13441,,,0,,,,358.51165430000,+2.67058540000,2000.0000,130.60,3.30,503.50,-399.50,,,,,,,,18.263,CNS5 5897
5445,4248,,,0,,6575069780231675264,,330.62692304344,-37.08193913675,2016.0000,130.42,0.06,805.69,-229.74,,,10.4674200,9.253880,7.602,7.015,6.718,6.546,CNS5 5445
5623,13282,,,0,,6623351805412369024,,342.02033817244,-24.36962741760,2016.0000,130.30,0.04,331.61,-183.80,,,11.1292320,9.863080,8.075,7.527,7.206,6.918,CNS5 5623
317,53,,,0,,411413822074322432,5336,17.09474986120,+54.91320397756,2016.0000,130.29,0.50,3468.25,-1564.84,-96.93,0.18,4.9480124,4.404382,4.031,3.597,3.505,3.311,CNS5  317
